Session: untitled,,,,,,,
Training Data: abalon_all_4_generalized_True    Observations: 3000,,,,,,,
"Predictors: 8    Predictor Names: Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight",,,,,,,
"Response Name: Class    Response Classes: 10    Response Class Names: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9",,,,,,,
Validation: 5-fold cross-validation,,,,,,,
Test Data: abalon_test    Observations: 1197,,,,,,,
,,,,,,,
,,,,,,,
Favorite,Model Number,Model Type,Status,Accuracy % (Validation),Total Cost (Validation),Accuracy % (Test),Total Cost (Test)
0,2.1,Tree,Tested,23.2333333333333,2303,29.0133779264214,849
0,2.2,Tree,Tested,24.5666666666667,2263,30.0167224080268,837
0,2.3,Tree,Tested,21.6666666666667,2350,29.2642140468227,846
0,2.4,KNN,Tested,16.6333333333333,2501,23.8294314381271,911
0,2.5,KNN,Tested,24.5333333333333,2264,25.5852842809365,890
0,2.6,KNN,Tested,26.1666666666667,2215,29.3478260869565,845
0,2.7,KNN,Tested,24.0333333333333,2279,27.0066889632107,873
0,2.8,KNN,Tested,24,2280,26.7558528428094,876
0,2.9,KNN,Tested,19.3,2421,26.6722408026756,877
0,2.10,Efficient Logistic Regression,Tested,23.1333333333333,2306,29.8494983277592,839
0,2.11,Efficient Linear SVM,Tested,22.5666666666667,2323,27.4247491638796,868
