Session: untitled,,,,,,,
Training Data: abalon_all_3_generalized_True    Observations: 3000,,,,,,,
"Predictors: 8    Predictor Names: Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight",,,,,,,
"Response Name: Class    Response Classes: 10    Response Class Names: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9",,,,,,,
Validation: 5-fold cross-validation,,,,,,,
Test Data: abalon_test    Observations: 1197,,,,,,,
,,,,,,,
,,,,,,,
Favorite,Model Number,Model Type,Status,Accuracy % (Validation),Total Cost (Validation),Accuracy % (Test),Total Cost (Test)
0,2.1,Tree,Tested,25.0666666666667,2248,27.7591973244147,864
0,2.2,Tree,Tested,28.7333333333333,2138,29.0969899665552,848
0,2.3,Tree,Tested,25.4,2238,25.6688963210702,889
0,2.4,KNN,Tested,18.3,2451,22.742474916388,924
0,2.5,KNN,Tested,26.3,2211,26.0869565217391,884
0,2.6,KNN,Tested,27.0666666666667,2188,28.5953177257525,854
0,2.7,KNN,Tested,27.1333333333333,2186,26.5886287625418,878
0,2.8,KNN,Tested,26.5,2205,27.0903010033445,872
0,2.9,KNN,Tested,21.5666666666667,2353,25.5852842809365,890
0,2.10,Efficient Logistic Regression,Tested,23.5666666666667,2293,29.5986622073579,842
0,2.11,Efficient Linear SVM,Tested,24.5,2265,28.2608695652174,858
