Session: untitled,,,,,,,
Training Data: abalon_all_3_ord_sample_cp_generalized_True    Observations: 3000,,,,,,,
"Predictors: 8    Predictor Names: Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight",,,,,,,
"Response Name: Class    Response Classes: 10    Response Class Names: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9",,,,,,,
Validation: 5-fold cross-validation,,,,,,,
Test Data: abalon_test    Observations: 1197,,,,,,,
,,,,,,,
,,,,,,,
Favorite,Model Number,Model Type,Status,Accuracy % (Validation),Total Cost (Validation),Accuracy % (Test),Total Cost (Test)
0,2.1,Tree,Tested,25.2333333333333,2243,24.3311036789298,905
0,2.2,Tree,Tested,25.5333333333333,2234,26.4214046822742,880
0,2.3,Tree,Tested,22.8666666666667,2314,25,897
0,2.4,KNN,Tested,23.8666666666667,2284,20.2341137123746,954
0,2.5,KNN,Tested,25,2250,24.5819397993311,902
0,2.6,KNN,Tested,25.0666666666667,2248,27.3411371237458,869
0,2.7,KNN,Tested,26.1,2217,26.0033444816053,885
0,2.8,KNN,Tested,24.1,2277,24.5819397993311,902
0,2.9,KNN,Tested,26.7333333333333,2198,23.9966555183947,909
0,2.10,Efficient Logistic Regression,Tested,22.3666666666667,2329,26.505016722408,879
0,2.11,Efficient Linear SVM,Tested,21.7,2349,24.0802675585284,908
