age,educational-num,gender,occupation,income,identifier
0.4246575342465753,0.2,1.0,13,0.0,38096
0.410958904109589,0.26666666666666666,0.0,7,0.0,16741
0.2602739726027397,0.8,1.0,3,1.0,38653
0.0,0.3333333333333333,1.0,7,0.0,32747
0.6301369863013698,0.5333333333333333,1.0,5,0.0,16374
0.1643835616438356,1.0,1.0,9,0.0,15821
0.0821917808219178,0.6,1.0,5,0.0,37656
0.0410958904109589,0.6,1.0,7,0.0,24105
0.3698630136986301,0.5333333333333333,1.0,3,0.0,16670
0.6027397260273972,0.6,1.0,3,1.0,477
0.4246575342465753,0.8,1.0,9,0.0,37027
0.4520547945205479,0.8,1.0,12,0.0,45783
0.5753424657534246,0.8,1.0,5,1.0,33576
0.6712328767123288,0.3333333333333333,0.0,7,0.0,481
0.2054794520547945,0.6666666666666666,1.0,9,0.0,20538
0.4931506849315068,0.6,1.0,11,1.0,7188
0.7123287671232876,0.5333333333333333,1.0,0,0.0,27280
0.3561643835616438,0.5333333333333333,1.0,2,0.0,34903
0.2054794520547945,0.5333333333333333,0.0,3,0.0,38299
0.0821917808219178,0.4,1.0,0,0.0,30984
0.2054794520547945,0.6,0.0,0,0.0,14234
0.3013698630136986,0.9333333333333333,1.0,9,1.0,19172
0.6986301369863014,0.6,1.0,2,0.0,4094
0.0136986301369863,0.4,0.0,0,0.0,15955
0.2465753424657534,0.8666666666666667,1.0,9,1.0,11114
0.3698630136986301,0.6666666666666666,1.0,2,1.0,31020
0.3287671232876712,0.6666666666666666,0.0,0,0.0,4311
0.1643835616438356,0.3333333333333333,0.0,4,0.0,26254
0.0547945205479452,0.6,0.0,0,0.0,43185
0.3835616438356164,0.8666666666666667,0.0,9,0.0,30156
0.684931506849315,0.8,1.0,3,1.0,18031
0.0684931506849315,0.6,0.0,11,0.0,11400
0.3150684931506849,0.6,1.0,3,0.0,5862
0.5205479452054794,0.8,1.0,3,0.0,40454
0.0273972602739726,0.6,1.0,0,0.0,26362
0.5342465753424658,0.4,0.0,11,0.0,21929
0.136986301369863,0.8,1.0,3,0.0,31661
0.0136986301369863,0.4,0.0,11,0.0,20465
0.1780821917808219,0.6,0.0,3,1.0,6221
0.0958904109589041,0.5333333333333333,1.0,6,0.0,7260
0.273972602739726,0.13333333333333333,0.0,6,0.0,40556
0.6438356164383562,0.5333333333333333,1.0,6,0.0,6034
0.0684931506849315,0.6666666666666666,1.0,7,0.0,20373
0.4246575342465753,0.8,1.0,3,1.0,25696
0.3561643835616438,0.8,1.0,9,1.0,42564
0.3424657534246575,0.6,0.0,6,0.0,40838
0.547945205479452,0.13333333333333333,1.0,2,0.0,34968
0.3287671232876712,0.8666666666666667,1.0,9,0.0,31574
0.0821917808219178,0.4666666666666667,1.0,5,0.0,34520
0.1917808219178082,0.5333333333333333,1.0,2,0.0,4350
0.1095890410958904,0.3333333333333333,1.0,7,0.0,33856
0.3287671232876712,0.6,1.0,11,0.0,42937
0.2602739726027397,0.6,1.0,11,1.0,15918
0.4931506849315068,0.6,1.0,4,0.0,37065
0.136986301369863,0.5333333333333333,0.0,0,0.0,23667
0.0958904109589041,0.5333333333333333,1.0,2,0.0,26363
0.0136986301369863,0.6,1.0,7,0.0,7276
0.6712328767123288,0.9333333333333333,1.0,9,0.0,22362
0.0958904109589041,0.7333333333333333,1.0,9,0.0,7533
0.3287671232876712,1.0,1.0,9,0.0,487
0.4520547945205479,0.5333333333333333,1.0,2,0.0,40122
0.5342465753424658,0.8666666666666667,1.0,9,0.0,5066
0.0547945205479452,0.5333333333333333,0.0,7,0.0,2121
0.1780821917808219,0.8,1.0,11,0.0,22547
0.3150684931506849,0.5333333333333333,1.0,11,1.0,19940
0.0273972602739726,0.4666666666666667,0.0,0,0.0,33335
