age,educational-num,gender,occupation,income,identifier,cluster,risk
0.2465753424657534,0.5333333333333333,0.0,7,0.0,10070,634,0.25
0.5102739726027397,0.5333333333333333,0.0,2,1.0,5900,1,0.25
0.20205479452054792,0.5333333333333333,1.0,2,0.0,1678,2,0.25
0.1506849315068493,0.5333333333333333,1.0,0,0.0,5219,3,0.25
0.2465753424657534,0.8166666666666667,1.0,9,1.0,2421,4,0.25
0.3116438356164384,0.8666666666666667,1.0,2,0.0,27483,5,0.25
0.3767123287671233,0.5333333333333333,1.0,0,0.0,28537,6,0.25
0.3527397260273972,0.7999999999999999,1.0,10,1.0,17918,1044,0.25
0.22945205479452052,0.6,1.0,2,0.0,27006,7,0.25
0.11986301369863013,0.5333333333333333,0.0,0,0.0,35088,8,0.25
0.16095890410958902,0.6333333333333333,0.0,3,0.0,3222,9,0.25
0.10273972602739725,0.4,1.0,6,0.0,25948,635,0.25
0.339041095890411,0.5333333333333333,1.0,0,0.0,3806,10,0.25
0.273972602739726,0.5333333333333333,1.0,3,1.0,11816,11,0.25
0.07534246575342465,0.6,1.0,2,0.0,21096,12,0.25
0.2705479452054794,0.5333333333333333,0.0,0,0.0,30750,13,0.25
0.1780821917808219,0.5333333333333333,1.0,2,0.0,11703,14,0.25
0.3287671232876712,0.7333333333333333,0.0,6,0.0,2189,636,0.25
0.0958904109589041,0.5333333333333333,1.0,2,0.0,3195,15,0.25
0.1643835616438356,0.6,1.0,3,0.0,24346,16,0.25
0.5171232876712328,0.5333333333333333,1.0,0,1.0,6603,17,0.25
0.19520547945205477,0.5333333333333333,0.0,0,0.0,23444,18,0.25
0.2602739726027397,0.8,1.0,13,1.0,40097,637,0.25
0.2705479452054794,0.5333333333333333,0.0,3,1.0,10290,19,0.25
0.37328767123287665,0.6,1.0,3,0.0,8253,20,0.25
0.2876712328767123,0.19999999999999996,1.0,6,0.0,27622,638,0.25
0.339041095890411,0.6166666666666667,0.0,9,1.0,19512,21,0.25
0.1917808219178082,0.6166666666666667,0.0,10,0.0,20354,1045,0.25
0.3116438356164384,0.8666666666666667,1.0,3,0.0,32242,5,0.25
0.3424657534246575,0.6,1.0,0,0.0,28399,22,0.25
0.5890410958904109,0.6,1.0,11,0.0,30309,639,0.25
0.386986301369863,0.8,0.0,9,0.25,7350,23,0.25
0.04794520547945205,0.3833333333333333,0.0,9,0.0,32669,24,0.25
0.48972602739726023,0.5,1.0,7,0.0,45527,881,0.25
0.0958904109589041,0.6,1.0,4,0.0,5393,882,0.25
0.547945205479452,0.6,1.0,2,0.0,27273,25,0.25
0.410958904109589,0.19999999999999996,1.0,6,0.0,22501,640,0.25
0.13356164383561642,0.29999999999999993,1.0,13,0.0,6708,641,0.25
0.3287671232876712,0.6666666666666666,1.0,9,0.0,38500,26,0.25
