age,educational-num,gender,occupation,income,identifier,cluster,risk
0.2602739726027397,0.5333333333333333,0.0,0,0.0,10070,1,0.16666666666666666
0.4885844748858448,0.5444444444444444,0.0,0,1.0,5900,2,0.16666666666666666
0.2009132420091324,0.5333333333333333,1.0,2,0.0,1678,3,0.16666666666666666
0.15068493150684928,0.5333333333333333,1.0,2,0.0,5219,4,0.16666666666666666
0.2442922374429224,0.811111111111111,1.0,9,1.0,2421,5,0.16666666666666666
0.3105022831050228,0.8555555555555557,1.0,9,0.0,27483,6,0.16666666666666666
0.4063926940639269,0.5333333333333333,1.0,2,0.0,28537,7,0.16666666666666666
0.3538812785388128,0.7999999999999999,1.0,10,1.0,17918,685,0.16666666666666666
0.23287671232876708,0.6,1.0,2,0.0,27006,8,0.16666666666666666
0.12100456621004564,0.5333333333333333,0.0,9,0.0,35088,9,0.16666666666666666
0.15296803652968036,0.6333333333333333,0.0,3,0.0,3222,10,0.16666666666666666
0.12100456621004567,0.4222222222222222,1.0,11,0.0,25948,11,0.16666666666666666
0.34018264840182644,0.5333333333333333,1.0,2,0.0,3806,12,0.16666666666666666
0.273972602739726,0.5333333333333333,1.0,0,1.0,11816,13,0.16666666666666666
0.09360730593607307,0.6,1.0,0,0.0,21096,14,0.16666666666666666
0.30365296803652964,0.5444444444444444,0.0,0,0.0,30750,15,0.16666666666666666
0.16666666666666666,0.5333333333333333,1.0,9,0.0,11703,16,0.16666666666666666
0.33789954337899547,0.7999999999999999,0.0,11,0.0,2189,17,0.16666666666666666
0.09817351598173514,0.5333333333333333,1.0,2,0.0,3195,18,0.16666666666666666
0.1598173515981735,0.6,1.0,3,0.0,24346,19,0.16666666666666666
0.5182648401826483,0.5333333333333333,1.0,2,1.0,6603,20,0.16666666666666666
0.2009132420091324,0.5444444444444444,0.0,0,0.0,23444,21,0.16666666666666666
0.182648401826484,0.7777777777777778,1.0,11,1.0,40097,22,0.16666666666666666
0.26712328767123283,0.5666666666666665,0.0,2,1.0,10290,23,0.16666666666666666
0.3493150684931507,0.6,1.0,3,0.0,8253,24,0.16666666666666666
0.3356164383561644,0.39999999999999997,1.0,6,0.0,27622,524,0.16666666666666666
0.3150684931506849,0.6222222222222222,0.0,9,1.0,19512,25,0.16666666666666666
0.10730593607305934,0.611111111111111,0.0,12,0.0,20354,525,0.16666666666666666
0.3105022831050228,0.8555555555555557,1.0,3,0.0,32242,6,0.16666666666666666
0.3493150684931507,0.6,1.0,0,0.0,28399,24,0.16666666666666666
0.5799086757990867,0.6,1.0,11,0.0,30309,26,0.16666666666666666
0.4155251141552512,0.8222222222222223,0.16666666666666666,9,1.0,7350,27,0.16666666666666666
0.01598173515981735,0.41111111111111104,0.0,9,0.0,32669,28,0.16666666666666666
0.4840182648401827,0.5,1.0,4,0.0,45527,526,0.16666666666666666
0.091324200913242,0.6,1.0,5,0.0,5393,527,0.16666666666666666
0.5068493150684932,0.6,1.0,2,0.0,27273,29,0.16666666666666666
0.35159817351598166,0.3333333333333333,1.0,6,0.0,22501,528,0.16666666666666666
0.1415525114155251,0.3333333333333333,1.0,6,0.0,6708,529,0.16666666666666666
0.32648401826484014,0.6666666666666666,1.0,7,0.0,38500,30,0.16666666666666666
0.35844748858447484,0.7888888888888888,1.0,5,0.0,11438,530,0.16666666666666666
0.24885844748858446,0.5444444444444444,0.0,7,0.0,37217,31,0.16666666666666666
0.05251141552511415,0.4222222222222222,1.0,6,0.0,20796,531,0.16666666666666666
0.39954337899543385,0.5555555555555556,1.0,4,0.0,6114,532,0.16666666666666666
0.11187214611872147,0.811111111111111,1.0,3,0.0,26438,32,0.16666666666666666
0.5091324200913242,0.5333333333333333,1.0,2,0.0,227,33,0.16666666666666666
0.3789954337899544,0.5444444444444444,1.0,7,0.0,13746,34,0.16666666666666666
0.23972602739726023,0.6,0.0,0,0.0,10585,35,0.16666666666666666
0.365296803652968,0.6222222222222222,1.0,4,1.0,45504,533,0.16666666666666666
0.319634703196347,0.7999999999999999,1.0,3,0.0,10037,36,0.16666666666666666
0.4657534246575343,0.6,1.0,0,0.0,33984,37,0.16666666666666666
0.12557077625570776,0.46666666666666673,1.0,5,0.0,9279,534,0.16666666666666666
0.0958904109589041,0.5888888888888889,0.0,5,0.0,34904,535,0.16666666666666666
0.08447488584474887,0.5444444444444444,0.0,0,0.0,37281,38,0.16666666666666666
0.3972602739726027,0.5333333333333333,0.0,0,0.0,11418,39,0.16666666666666666
0.03881278538812785,0.5555555555555555,1.0,5,0.0,37982,536,0.16666666666666666
0.2671232876712329,0.7555555555555555,1.0,9,1.0,8459,40,0.16666666666666666
0.2351598173515982,0.5444444444444444,0.0,0,0.0,44282,41,0.16666666666666666
0.3036529680365297,0.5666666666666668,0.0,6,0.0,30222,537,0.16666666666666666
0.05707762557077625,0.5444444444444444,1.0,11,0.0,6341,42,0.16666666666666666
0.12557077625570778,0.5888888888888889,1.0,7,0.0,10370,43,0.16666666666666666
0.2442922374429223,0.7444444444444445,1.0,9,1.0,16463,44,0.16666666666666666
0.3607305936073059,0.8777777777777779,1.0,0,1.0,28825,45,0.16666666666666666
0.3904109589041096,0.5333333333333333,0.0,5,0.0,31468,538,0.16666666666666666
0.5639269406392694,0.7888888888888889,1.0,11,1.0,8116,46,0.16666666666666666
0.33789954337899536,0.5555555555555556,1.0,4,0.0,11994,539,0.16666666666666666
0.5593607305936074,0.8333333333333331,0.0,9,0.0,1324,47,0.16666666666666666
0.16666666666666666,0.5333333333333333,1.0,0,0.0,19736,16,0.16666666666666666
0.42694063926940634,0.5888888888888889,0.0,0,0.0,11915,48,0.16666666666666666
0.4018264840182648,0.6444444444444445,1.0,9,1.0,34783,49,0.16666666666666666
0.04794520547945205,0.2888888888888888,1.0,7,0.0,44481,50,0.16666666666666666
