Session: untitled,,,,,,,
Training Data: obesity_all_3_generalized_True    Observations: 1500,,,,,,,
"Predictors: 7    Predictor Names: Gender, Age, Height, Weight, NCP, CH2O, FAF",,,,,,,
"Response Name: NObeyesdad    Response Classes: 7    Response Class Names: 0, 1, 2, 3, 4, 5, 6",,,,,,,
Validation: 5-fold cross-validation,,,,,,,
Test Data: obesity_test    Observations: 625,,,,,,,
,,,,,,,
,,,,,,,
Favorite,Model Number,Model Type,Status,Accuracy % (Validation),Total Cost (Validation),Accuracy % (Test),Total Cost (Test)
0,2.1,Tree,Tested,48.3333333333333,775,84.96,94
0,2.2,Tree,Tested,43.8,843,69.76,189
0,2.3,Tree,Tested,32.0666666666667,1019,52.96,294
0,2.4,KNN,Tested,40.5333333333333,892,80.64,121
0,2.5,KNN,Tested,40.4,894,73.6,165
0,2.6,KNN,Tested,38,930,60.8,245
0,2.7,KNN,Tested,40.2,897,72,175
0,2.8,KNN,Tested,40.2,897,72.32,173
0,2.9,KNN,Tested,39.5333333333333,907,79.68,127
0,2.10,Efficient Logistic Regression,Tested,39.8,903,60.16,249
0,2.11,Efficient Linear SVM,Tested,44.6666666666667,830,69.92,188
