Session: untitled,,,,,,,
Training Data: obesity_all_3_ord_sample_cp_generalized_True    Observations: 1500,,,,,,,
"Predictors: 7    Predictor Names: Gender, Age, Height, Weight, NCP, CH2O, FAF",,,,,,,
"Response Name: NObeyesdad    Response Classes: 7    Response Class Names: 0, 1, 2, 3, 4, 5, 6",,,,,,,
Validation: 5-fold cross-validation,,,,,,,
Test Data: obesity_test    Observations: 625,,,,,,,
,,,,,,,
,,,,,,,
Favorite,Model Number,Model Type,Status,Accuracy % (Validation),Total Cost (Validation),Accuracy % (Test),Total Cost (Test)
0,2.1,Tree,Tested,36.9333333333333,946,61.6,240
0,2.2,Tree,Tested,32.0666666666667,1019,55.04,281
0,2.3,Tree,Tested,27.8,1083,47.68,327
0,2.4,KNN,Tested,35.8666666666667,962,53.76,289
0,2.5,KNN,Tested,34.4,984,67.36,204
0,2.6,KNN,Tested,31,1035,54.4,285
0,2.7,KNN,Tested,34.5333333333333,982,64.64,221
0,2.8,KNN,Tested,33.7333333333333,994,66.72,208
0,2.9,KNN,Tested,38.3333333333333,925,63.04,231
0,2.10,Efficient Logistic Regression,Tested,29.8666666666667,1052,49.92,313
0,2.11,Efficient Linear SVM,Tested,30.8,1038,55.2,280
