Session: untitled,,,,,,,
Training Data: obesity_all_4_ord_sample_cp_generalized_True    Observations: 1500,,,,,,,
"Predictors: 7    Predictor Names: Gender, Age, Height, Weight, NCP, CH2O, FAF",,,,,,,
"Response Name: NObeyesdad    Response Classes: 7    Response Class Names: 0, 1, 2, 3, 4, 5, 6",,,,,,,
Validation: 5-fold cross-validation,,,,,,,
Test Data: obesity_test    Observations: 625,,,,,,,
,,,,,,,
,,,,,,,
Favorite,Model Number,Model Type,Status,Accuracy % (Validation),Total Cost (Validation),Accuracy % (Test),Total Cost (Test)
0,2.1,Tree,Tested,36.2666666666667,956,72.96,169
0,2.2,Tree,Tested,34.3333333333333,985,70.08,187
0,2.3,Tree,Tested,28.2,1077,56.32,273
0,2.4,KNN,Tested,31.7333333333333,1024,59.2,255
0,2.5,KNN,Tested,34,990,67.84,201
0,2.6,KNN,Tested,29.8,1053,57.92,263
0,2.7,KNN,Tested,35.5333333333333,967,68.64,196
0,2.8,KNN,Tested,34.2666666666667,986,65.76,214
0,2.9,KNN,Tested,35.3333333333333,970,68.64,196
0,2.10,Efficient Logistic Regression,Tested,29.5333333333333,1057,51.68,302
0,2.11,Efficient Linear SVM,Tested,30.5333333333333,1042,59.52,253
