Session: untitled,,,,,,,
Training Data: adult_all7_ord_sample_cp_generalized_True    Observations: 10000,,,,,,,
"Predictors: 4    Predictor Names: age, educational_num, gender, income",,,,,,,
"Response Name: occupation    Response Classes: 14    Response Class Names: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",,,,,,,
Validation: 5-fold cross-validation,,,,,,,
Test Data: adult_test    Observations: 36053,,,,,,,
,,,,,,,
,,,,,,,
Favorite,Model Number,Model Type,Status,Accuracy % (Validation),Total Cost (Validation),Accuracy % (Test),Total Cost (Test)
0,2.1,Tree,Tested,20.07,7993,30.4218789005076,25085
0,2.2,Tree,Tested,20.08,7992,30.5050897290101,25055
0,2.3,Tree,Tested,19.74,8026,29.1376584472859,25548
0,2.4,KNN,Tested,11.09,8891,20.7749701827865,28563
0,2.5,KNN,Tested,14.22,8578,27.0351981804566,26306
0,2.6,KNN,Tested,19.8,8020,30.7269852716834,24975
0,2.7,KNN,Tested,14.26,8574,26.5664438465592,26475
0,2.8,KNN,Tested,14.18,8582,26.9297977976867,26344
0,2.9,KNN,Tested,12.23,8777,25.8230937786037,26743
0,2.10,Efficient Logistic Regression,Tested,20.4,7960,30.5494688375447,25039
0,2.11,Efficient Linear SVM,Tested,20.14,7986,29.4039330984939,25452
