Session: untitled,,,,,,,
Training Data: adult_all_6_generalized_True    Observations: 10000,,,,,,,
"Predictors: 4    Predictor Names: age, educational_num, gender, income",,,,,,,
"Response Name: occupation    Response Classes: 14    Response Class Names: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",,,,,,,
Validation: 5-fold cross-validation,,,,,,,
Test Data: adult_test    Observations: 36053,,,,,,,
,,,,,,,
,,,,,,,
Favorite,Model Number,Model Type,Status,Accuracy % (Validation),Total Cost (Validation),Accuracy % (Test),Total Cost (Test)
0,2.1,Tree,Tested,19,8100,30.5883005575126,25025
0,2.2,Tree,Tested,20.68,7932,31.0154494771586,24871
0,2.3,Tree,Tested,21.37,7863,29.1376584472859,25548
0,2.4,KNN,Tested,10.3,8970,22.2810861786814,28020
0,2.5,KNN,Tested,14.29,8571,27.6759215599257,26075
0,2.6,KNN,Tested,20.67,7933,31.1208498599284,24833
0,2.7,KNN,Tested,14.8,8520,27.48453665437,26144
0,2.8,KNN,Tested,14.23,8577,27.6565056999418,26082
0,2.9,KNN,Tested,11.61,8839,27.3486256344826,26193
0,2.10,Efficient Logistic Regression,Tested,22.15,7785,30.5078634232935,25054
0,2.11,Efficient Linear SVM,Tested,22.21,7779,30.6853798574321,24990
