Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class,identifier
1,0.39864864864864863,0.36974789915966394,0.08849557522123895,0.08057375597662475,0.058843308675184926,0.06056616194865042,0.06826108619830594,1,681
0,0.9121621621621623,0.8319327731092439,0.17256637168141595,0.6483088365503807,0.5574983187626092,0.4812376563528637,0.4369706028898855,5,1985
1,0.4527027027027027,0.45378151260504207,0.09734513274336284,0.1147511953249513,0.08843308675184935,0.09809084924292297,0.09915296462381666,2,2733
2,0.8175675675675677,0.8151260504201682,0.18584070796460178,0.6327253408889676,0.5605245460659045,0.5365371955233705,0.4339810662680619,7,3006
0,0.6283783783783784,0.6050420168067226,0.15486725663716813,0.3171595537453515,0.18426361802286484,0.31665569453587883,0.2725460886895865,8,2484
1,0.4054054054054054,0.42016806722689076,0.1017699115044248,0.09544891092615548,0.061197041022192325,0.09677419354838708,0.08819133034379673,2,349
2,0.6621621621621621,0.638655462184874,0.13274336283185842,0.3499203116699132,0.3890383322125084,0.23963133640552992,0.20378674638764327,2,1132
2,0.8581081081081081,0.8655462184873949,0.17256637168141595,0.4767132990968656,0.6035642232683254,0.5832784726793943,0.45042351768809175,5,3519
2,0.7905405405405407,0.773109243697479,0.17256637168141595,0.5537453515140782,0.4932750504371217,0.46412113232389723,0.3831589436970604,3,2036
0,0.5945945945945946,0.638655462184874,0.1504424778761062,0.22277315388701965,0.1852723604572966,0.1454904542462146,0.21375186846038868,6,2351
0,0.7364864864864865,0.6974789915966386,0.12389380530973454,0.36497255179741456,0.24176193678547409,0.29427254772876893,0.35724962630792234,8,416
2,0.16216216216216217,0.15126050420168066,0.044247787610619475,0.010625110678236231,0.006052454606590451,0.00987491770901909,0.010463378176382663,0,612
0,0.7567567567567568,0.7226890756302521,0.14601769911504428,0.4577651850540109,0.4485541358439812,0.34233048057932847,0.2690582959641256,3,879
2,0.6959459459459459,0.7142857142857143,0.14159292035398233,0.4462546484859217,0.38164088769334226,0.35813034891375906,0.3323368211260589,3,2527
0,0.9121621621621623,0.9327731092436974,0.20796460176991152,0.8877279971666373,0.8278412911903161,0.6826859776168532,0.6083707025411063,8,1428
2,0.8175675675675677,0.7983193277310925,0.1592920353982301,0.5408181335222242,0.5127774041694687,0.4094799210006583,0.39960139511709025,5,2704
0,0.6081081081081081,0.6050420168067226,0.13274336283185842,0.24915884540463962,0.22057834566240753,0.19289005924950622,0.19681116093672152,4,2756
0,0.7702702702702704,0.7647058823529412,0.14159292035398233,0.43899415618912696,0.39038332212508403,0.3627386438446346,0.31240657698056806,3,1713
0,0.7500000000000001,0.73109243697479,0.1504424778761062,0.42978572693465555,0.3103564223268325,0.26859776168531924,0.3079222720478326,4,3130
0,0.7837837837837839,0.7478991596638656,0.1946902654867257,0.48060917301221884,0.43106926698049763,0.4279131007241606,0.4020926756352766,7,4144
2,0.5270270270270271,0.5882352941176472,0.11946902654867259,0.2746591110324066,0.2925353059852051,0.22514812376563528,0.14349775784753366,4,3117
2,0.7364864864864865,0.6638655462184875,0.1769911504424779,0.30316982468567377,0.2874915938130464,0.20013166556945355,0.23816641753861487,2,1169
1,0.27702702702702703,0.2605042016806723,0.057522123893805316,0.03860456879759164,0.027908540685944856,0.03686635944700461,0.028400597907324368,0,3430
0,0.8040540540540542,0.8319327731092439,0.13716814159292037,0.5539224366920489,0.5763281775386684,0.445687952600395,0.35127055306427507,4,1738
2,0.6216216216216216,0.638655462184874,0.12389380530973454,0.3088365503807331,0.25050437121721586,0.3008558262014483,0.21723966118584956,2,980
2,0.6824324324324325,0.6638655462184875,0.15486725663716813,0.37754559943332744,0.285137861466039,0.2666227781435155,0.31738913801694074,7,426
1,0.6081081081081081,0.5546218487394958,0.11504424778761063,0.21427306534443066,0.15770006724949562,0.1639236339697169,0.19282511210762335,2,2755
1,0.37837837837837834,0.3781512605042018,0.08849557522123895,0.07986541526474233,0.06220578345662407,0.05924950625411454,0.08320876930742403,5,2245
2,0.3716216216216216,0.35294117647058826,0.07964601769911504,0.06215689746768195,0.03799596503026227,0.05464121132323897,0.06626806178375687,6,610
1,0.5608108108108107,0.5378151260504203,0.11061946902654868,0.19213741809810517,0.18695359784801616,0.15075707702435812,0.1280518186347783,2,2645
1,0.5067567567567568,0.4621848739495799,0.08849557522123895,0.14485567557995394,0.13012777404169468,0.13100724160631994,0.09616342800199304,0,1091
0,0.6891891891891893,0.638655462184874,0.15486725663716813,0.34708694882238356,0.27202420981842634,0.3278472679394338,0.2675635276532138,4,578
0,0.3851351351351351,0.35294117647058826,0.07964601769911504,0.07596954134938905,0.06388702084734364,0.04805793285055957,0.07174887892376683,4,2380
1,0.49324324324324326,0.5042016806722689,0.14601769911504428,0.15335576412254293,0.10625420309347679,0.13759052007899933,0.1380169407075237,9,2403
2,0.6689189189189189,0.7142857142857143,0.15486725663716813,0.4189835310784487,0.3180901143241425,0.3429888084265964,0.3771798704534131,5,74
0,0.6959459459459459,0.6722689075630253,0.15486725663716813,0.34142022312732423,0.26227303295225285,0.3225806451612903,0.3074240159441954,4,2138
0,0.7905405405405407,0.7394957983193278,0.18584070796460178,0.5475473702851071,0.48621385339609946,0.4634628044766293,0.3896362730443449,4,1409
2,0.6081081081081081,0.5798319327731093,0.11504424778761063,0.2930759695413494,0.16106254203093476,0.23963133640552992,0.2725460886895865,5,731
2,0.7094594594594595,0.680672268907563,0.1504424778761062,0.41738976447671333,0.30598520511096167,0.4430546412113232,0.3263577478824116,5,1917
2,0.8513513513513513,0.857142857142857,0.4557522123893806,0.7820081459181867,0.7441156691324815,0.639894667544437,0.5087194818136523,4,1418
0,0.7094594594594595,0.7058823529411765,0.13716814159292037,0.3743580662298565,0.29589778076664425,0.24950625411454902,0.3871449925261585,5,3577
1,0.2702702702702703,0.2436974789915967,0.06194690265486727,0.033292013458473525,0.024209818426361798,0.02896642527978933,0.028400597907324368,0,4024
2,0.6283783783783784,0.6134453781512605,0.168141592920354,0.24207543828581546,0.1963685272360457,0.2139565503620803,0.3771798704534131,4,3035
0,0.7094594594594595,0.6638655462184875,0.12389380530973454,0.2957322472109084,0.24815063887020844,0.23238973008558259,0.24015944195316397,4,2032
0,0.6689189189189189,0.6638655462184875,0.1504424778761062,0.3881707101115637,0.27774041694687285,0.2455562870309414,0.4020926756352766,9,2177
1,0.6081081081081081,0.5630252100840337,0.10619469026548674,0.23446077563307952,0.20880968392737054,0.19289005924950622,0.17588440458395618,3,1593
1,0.5067567567567568,0.5210084033613446,0.11061946902654868,0.16291836373295554,0.14290517821116341,0.12903225806451613,0.1295465869456901,2,1088
2,0.7500000000000001,0.7142857142857143,0.13274336283185842,0.44944218168939254,0.4435104236718224,0.31863067807768264,0.3074240159441954,5,1503
0,0.6013513513513513,0.5882352941176472,0.12831858407079647,0.29289888436337874,0.23705447209145927,0.22119815668202764,0.20279023418036873,8,3353
0,0.6013513513513513,0.5882352941176472,0.12389380530973454,0.2442004604214627,0.18493611297915266,0.17972350230414746,0.21275535625311412,5,2465
2,0.722972972972973,0.7226890756302521,0.14159292035398233,0.35859748539047276,0.35675857431069263,0.27847267939433834,0.23916292974588943,2,1162
1,0.6013513513513513,0.5966386554621849,0.12389380530973454,0.2116167876748716,0.1620712844653665,0.1803818301514154,0.17987045341305433,5,4036
2,0.5405405405405405,0.5126050420168068,0.12389380530973454,0.18115813706392772,0.16139878950907866,0.1369321922317314,0.15296462381664178,2,4158
1,0.4054054054054054,0.3781512605042018,0.0752212389380531,0.11103240658756862,0.12508406186953597,0.05990783410138248,0.06527154957648232,1,1435
1,0.13513513513513511,0.11764705882352942,0.03539823008849558,0.009208429254471401,0.0057162071284465365,0.00987491770901909,0.007473841554559045,0,3601
2,0.6486486486486487,0.638655462184874,0.12389380530973454,0.26474234106605277,0.22864828513786148,0.21593153390388412,0.21175884404583958,2,1883
2,0.7027027027027027,0.7478991596638656,0.14601769911504428,0.3747122365857978,0.269670477471419,0.36800526662277816,0.2725460886895865,5,3249
0,0.8243243243243245,0.8151260504201682,0.19026548672566373,0.6022666902780237,0.44586415601882984,0.48057932850559576,0.4703537618335825,8,1187
2,0.445945945945946,0.42016806722689076,0.10619469026548674,0.11209491765539224,0.0823806321452589,0.11849901250822908,0.09317389138016942,1,806
0,0.6148648648648649,0.6302521008403361,0.1504424778761062,0.27377368514255357,0.23470073974445188,0.19947333772218562,0.23268560039860492,9,2400
2,0.8783783783783784,0.8319327731092439,0.1769911504424779,0.5340888967593412,0.5867518493611298,0.5608953258722843,0.5052316890881914,3,2708
0,0.8851351351351352,0.8655462184873949,0.14601769911504428,0.7134761820435631,0.7178883658372562,0.5497037524687294,0.43198804185351275,4,2545
