Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class,identifier,cluster,risk
2,0.7378378378378379,0.7327731092436975,0.15044247787610615,0.4468567380910217,0.41311365164761266,0.3516787360105332,0.3162929745889388,4,1021,1,0.2
1,0.30945945945945946,0.29579831932773104,0.06548672566371679,0.050044271294492626,0.0392737054472091,0.050164581961816945,0.04245142002989532,0,297,2,0.2
2,0.7540540540540541,0.7563025210084034,0.14778761061946902,0.40421462723570034,0.32367182246133147,0.30480579328505597,0.3488789237668162,6,3698,154,0.2
0,0.49324324324324326,0.4789915966386554,0.10176991150442476,0.15052240127501326,0.12380632145258903,0.11441737985516784,0.12855007473841557,7,590,215,0.2
0,0.6135135135135135,0.6000000000000001,0.12654867256637164,0.2600318753320347,0.20511096166778744,0.22146148782093475,0.19033383158943695,6,3902,155,0.2
0,0.7148648648648649,0.7025210084033613,0.1389380530973451,0.43531078448733834,0.3537323470073974,0.3793285055957867,0.29725959142999503,5,2613,3,0.2
0,0.5716216216216216,0.5747899159663866,0.12123893805309731,0.2495130157605808,0.20860793544048412,0.1765635286372613,0.20259093173891377,1,2057,156,0.2
2,0.585135135135135,0.5630252100840337,0.10707964601769906,0.2046750486984239,0.1713517148621385,0.1769585253456221,0.16013951170901844,3,3095,4,0.2
2,0.7054054054054054,0.6907563025210084,0.14070796460176987,0.43233575349743225,0.41223940820443844,0.34772876892692556,0.283208769307424,5,2858,5,0.2
0,0.8662162162162161,0.838655462184874,0.15929203539823006,0.6813529307596954,0.5920645595158036,0.5324555628703094,0.4505231689088191,9,2335,157,0.2
2,0.6310810810810812,0.6252100840336134,0.12300884955752207,0.30986364441296255,0.2570275722932077,0.24384463462804473,0.2479322371699053,4,3425,6,0.2
1,0.3243243243243243,0.3025210084033613,0.06548672566371676,0.055427660704798945,0.04203093476798918,0.04239631336405524,0.04952665670154456,4,322,7,0.2
2,0.8405405405405405,0.8420168067226891,0.17433628318584068,0.6804320878342482,0.621990585070612,0.5504937458854509,0.48530144494270055,8,3008,216,0.2
2,0.6216216216216217,0.6100840336134454,0.13274336283185836,0.2719674163272533,0.24532616005379956,0.201579986833443,0.20837070254110612,3,2650,158,0.2
2,0.6135135135135135,0.6000000000000001,0.12654867256637164,0.2600318753320347,0.20511096166778744,0.22146148782093475,0.19033383158943695,1,1885,155,0.2
0,0.7,0.715966386554622,0.13893805309734514,0.3866831946166106,0.34236718224613305,0.31507570770243576,0.2835077229696064,5,3000,8,0.2
0,0.42027027027027025,0.4235294117647058,0.09026548672566367,0.09891978041437924,0.0751176866173503,0.08176431863067801,0.08809167912306923,2,602,9,0.2
2,0.6500000000000001,0.6403361344537816,0.12743362831858404,0.29583849831769077,0.23880295897780762,0.2434496379196839,0.2548081714000997,3,4089,10,0.2
0,0.531081081081081,0.5193277310924371,0.10884955752212384,0.17513724101292716,0.13463349024882307,0.14667544437129684,0.15107125062282012,4,393,11,0.2
0,0.5148648648648648,0.5210084033613447,0.1044247787610619,0.1690100938551443,0.1403496973772696,0.14391046741277153,0.14748380667663175,7,270,217,0.2
2,0.627027027027027,0.6184873949579832,0.12212389380530968,0.28641756684965475,0.22279757901815728,0.2068466096115865,0.27414050822122576,8,739,218,0.2
0,0.5486486486486486,0.53109243697479,0.10353982300884954,0.1842394191606162,0.1549428379287155,0.13798551678736007,0.15485799701046338,4,2411,12,0.2
2,0.6189189189189188,0.6100840336134454,0.12389380530973448,0.2673986187356118,0.2295225285810356,0.2285714285714285,0.20597907324364728,5,3231,13,0.2
2,0.6932432432432434,0.6873949579831933,0.15221238938053094,0.3672392420754383,0.2809011432414256,0.30862409479920994,0.3070254110612855,8,508,219,0.2
2,0.6405405405405405,0.6302521008403362,0.12035398230088493,0.3030281565432973,0.2813718897108271,0.23252139565503613,0.22192326856003985,3,3738,14,0.2
2,0.48513513513513506,0.4504201680672269,0.09999999999999995,0.13727642996281209,0.10598520511096159,0.11784068466096109,0.11509715994020928,3,2467,15,0.2
2,0.6148648648648648,0.6050420168067228,0.11238938053097343,0.24926509651142195,0.21371889710827166,0.20460829493087548,0.19651220727453908,5,2355,16,0.2
2,0.7648648648648649,0.746218487394958,0.14867256637168139,0.4409420931468036,0.3599193006052454,0.41487820934825537,0.3368211260587943,8,750,220,0.2
1,0.44324324324324327,0.4386554621848739,0.09646017699115039,0.12137418098105186,0.09771351714862134,0.08518762343647132,0.09895366218236172,1,4164,159,0.2
2,0.5486486486486487,0.53109243697479,0.10176991150442471,0.16915176199752077,0.1357767316745124,0.14654377880184327,0.14947683109118085,1,3259,160,0.2
1,0.4594594594594595,0.43193277310924366,0.08584070796460173,0.12310961572516377,0.09253530598520507,0.09163923633969709,0.11569506726457397,1,2555,161,0.2
1,0.3189189189189189,0.3008403361344538,0.06548672566371679,0.05695059323534616,0.04445191661062538,0.041869651086240876,0.05012456402590928,0,3144,17,0.2
1,0.30945945945945946,0.29579831932773104,0.06548672566371679,0.050044271294492626,0.0392737054472091,0.050164581961816945,0.04245142002989532,4,3885,2,0.2
0,0.6662162162162162,0.6521008403361345,0.1300884955752212,0.36001416681423765,0.3259583053127101,0.30717577353522046,0.24564025909317388,5,2860,18,0.2
1,0.5337837837837837,0.522689075630252,0.10884955752212384,0.17981228971135113,0.13006052454606587,0.16642527978933502,0.14977578475336323,1,3645,162,0.2
1,0.4094594594594594,0.3915966386554621,0.08318584070796459,0.0901717726226314,0.0798924008069939,0.06649111257406184,0.07453911310413552,0,1071,19,0.2
2,0.6945945945945946,0.6739495798319328,0.13451327433628316,0.3641579599787497,0.31990585070611965,0.2767610269914417,0.29247633283507724,6,2033,163,0.2
2,0.5351351351351351,0.4957983193277311,0.10265486725663717,0.1717372055958916,0.15198386012104906,0.11994733377221851,0.14280019930244142,3,2887,20,0.2
0,0.4094594594594594,0.3932773109243698,0.09469026548672563,0.0924738799362493,0.07108271687962336,0.07728768926925607,0.08221225710014947,4,655,21,0.2
2,0.7608108108108109,0.761344537815126,0.16194690265486728,0.49881352930759687,0.3819098856758574,0.46385780118499004,0.3891380169407076,7,3798,221,0.2
1,0.41621621621621624,0.3815126050420169,0.08938053097345132,0.09392597839560825,0.07531943510423669,0.07346938775510198,0.08141504733432982,3,523,22,0.2
0,0.6675675675675675,0.6470588235294119,0.13628318584070792,0.31917832477421637,0.24586415601882977,0.2782093482554312,0.2552067762830095,9,657,164,0.2
0,0.6216216216216217,0.6067226890756303,0.12743362831858404,0.2689923853373472,0.21156691324815063,0.23620803159973663,0.2197309417040359,1,2218,222,0.2
2,0.6554054054054055,0.6016806722689075,0.12300884955752209,0.30366566318399146,0.2856086079354404,0.21606319947333769,0.2290981564524166,2,3501,23,0.2
2,0.42027027027027025,0.4235294117647058,0.09026548672566367,0.09891978041437924,0.0751176866173503,0.08176431863067801,0.08809167912306923,3,2453,9,0.2
0,0.5972972972972974,0.5781512605042017,0.1123893805309734,0.21228971135115987,0.1763954270342972,0.1657669519420671,0.17578475336322869,5,115,24,0.2
0,0.6864864864864865,0.6689075630252102,0.1327433628318584,0.3480432087834248,0.3041694687289845,0.2707044107965767,0.275734927752865,4,2997,25,0.2
2,0.5581081081081081,0.5327731092436976,0.10265486725663713,0.16578714361607932,0.13281775386684597,0.13021724818959837,0.14798206278026904,2,2064,26,0.2
0,0.5162162162162163,0.5092436974789918,0.09557522123893801,0.1732247210908446,0.1370544720914592,0.15760368663594465,0.14758345789735922,3,2248,27,0.2
1,0.49324324324324326,0.4789915966386554,0.10176991150442476,0.15052240127501326,0.12380632145258903,0.11441737985516784,0.12855007473841557,8,615,215,0.2
1,0.5216216216216216,0.5092436974789917,0.11150442477876102,0.170108021958562,0.12918628110289165,0.14707044107965758,0.1649227703039362,9,2128,165,0.2
0,0.5756756756756757,0.5529411764705883,0.11592920353982297,0.24979635204533382,0.22790854068594482,0.21514154048716255,0.18026905829596412,2,978,28,0.2
2,0.7027027027027027,0.6840336134453782,0.14159292035398227,0.38562068354878687,0.3406186953597848,0.33206056616194857,0.2967613353263578,4,3597,29,0.2
1,0.5270270270270271,0.5025210084033613,0.10176991150442476,0.14779528953426593,0.11755211835911228,0.11902567478604338,0.13712007972097656,2,4073,30,0.2
1,0.527027027027027,0.5176470588235296,0.10619469026548671,0.16369753851602614,0.12750504371217214,0.15128373930217243,0.13024414549078228,5,537,31,0.2
1,0.4094594594594594,0.3932773109243698,0.09469026548672563,0.0924738799362493,0.07108271687962336,0.07728768926925607,0.08221225710014947,3,458,21,0.2
0,0.7405405405405406,0.7579831932773109,0.1486725663716814,0.4442712944926509,0.3609952925353059,0.3755102040816326,0.3553562531141007,9,3931,166,0.2
2,0.595945945945946,0.5865546218487395,0.11238938053097343,0.2635735788914467,0.21788836583725618,0.25411454904542463,0.20249128051818635,5,409,32,0.2
2,0.5702702702702702,0.561344537815126,0.10796460176991148,0.2385691517619975,0.2032952252858103,0.20618828176431858,0.18345789735924262,3,3736,33,0.2
2,0.6702702702702703,0.6756302521008404,0.13362831858407076,0.3418452275544536,0.27081371889710826,0.27676102699144167,0.2818136522172397,8,411,223,0.2
