Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class,identifier,cluster,risk
2,0.7657657657657658,0.7759103641456583,0.1622418879056047,0.50734903488578,0.46828065456175744,0.3934606100504718,0.36704866301278866,4,1021,1,0.3333333333333333
1,0.29279279279279274,0.2829131652661065,0.061946902654867235,0.040257363791983906,0.028356870656803368,0.0375246872942725,0.036704866301278796,0,297,185,0.3333333333333333
2,0.7612612612612614,0.7478991596638656,0.14896755162241887,0.4030458650610944,0.326608383770455,0.2806671055518981,0.3506062115927587,6,3698,325,0.3333333333333333
0,0.43468468468468474,0.42296918767507,0.11061946902654862,0.10754973142081337,0.08451019950683701,0.0787798990563967,0.09151303770137852,7,590,411,0.3333333333333333
0,0.6148648648648649,0.6022408963585435,0.11504424778761056,0.2720028333628475,0.1960322797579018,0.22470923853412328,0.18369041687427337,6,3902,326,0.3333333333333333
0,0.7274774774774775,0.7226890756302522,0.15339233038348085,0.473407709108081,0.3888141672270791,0.3651525126179503,0.3293472845042352,5,2613,186,0.3333333333333333
0,0.5630630630630631,0.5574229691876752,0.12094395280235985,0.21905436514963694,0.18717776283344534,0.16633750274303266,0.1800365387809334,1,2057,187,0.3333333333333333
2,0.6036036036036035,0.57703081232493,0.11061946902654862,0.2098459358951655,0.16879623402824476,0.1770901909150757,0.17754525826274703,3,3095,2,0.3333333333333333
2,0.6711711711711712,0.6554621848739496,0.13274336283185842,0.38303523995041616,0.36370768885900023,0.31095018652622336,0.2612522836738083,5,2858,188,0.3333333333333333
0,0.9707207207207208,0.9607843137254902,0.19616519174041294,0.8354878696653091,0.6338264963012777,0.6660083388193986,0.6754691911642586,9,2335,327,0.3333333333333333
2,0.7702702702702703,0.7535014005602241,0.15781710914454278,0.47022017590461007,0.3839946200403497,0.39082729866140004,0.3869789071582794,4,3425,3,0.3333333333333333
1,0.27027027027027023,0.257703081232493,0.05752212389380527,0.0427955846762292,0.03227975790181566,0.0351108185209567,0.03604052482976244,0,322,189,0.3333333333333333
2,0.8536036036036037,0.8711484593837535,0.19174041297935104,0.7836609409125791,0.7700067249495629,0.4944042132982225,0.5909317389138019,8,3008,328,0.3333333333333333
2,0.5563063063063063,0.5462184873949582,0.11061946902654862,0.21751962694055837,0.1928939699618919,0.18477068246653497,0.16276366052150804,1,2650,190,0.3333333333333333
2,0.5878378378378378,0.5518207282913166,0.10619469026548667,0.2166932294433622,0.19390271239632365,0.1656791748957647,0.1637601727287826,1,1885,191,0.3333333333333333
0,0.6666666666666666,0.6722689075630254,0.1430678466076696,0.3496251697066288,0.2881640887693342,0.3175334649989027,0.27420694236837734,5,3000,192,0.3333333333333333
0,0.42117117117117114,0.4257703081232493,0.09144542772861353,0.09958089841213617,0.07677650750952693,0.0787798990563967,0.08802524497591761,4,602,4,0.3333333333333333
2,0.7072072072072073,0.7030812324929973,0.12241887905604716,0.3506876807744525,0.28962116117462444,0.282642089093702,0.2934728450423518,3,4089,5,0.3333333333333333
0,0.5337837837837838,0.535014005602241,0.11504424778761058,0.19892568325364499,0.16072629455279078,0.1882817643186306,0.16957316060455072,4,393,6,0.3333333333333333
0,0.5157657657657658,0.5210084033613446,0.10619469026548671,0.16781772032347556,0.14144810580587305,0.13298222514812374,0.1503072579305763,7,270,412,0.3333333333333333
2,0.5990990990990991,0.5910364145658265,0.12241887905604716,0.3047635912874092,0.19300605245460653,0.2067149440421329,0.3041023085866135,8,739,329,0.3333333333333333
0,0.5698198198198198,0.5490196078431373,0.10619469026548671,0.20772091375951832,0.18090114324142567,0.15558481457098966,0.16774622155788077,4,2411,7,0.3333333333333333
2,0.6193693693693694,0.6190476190476191,0.11799410029498524,0.28103417743934833,0.22663080026899793,0.25872284397630013,0.21541272213917959,5,3231,193,0.3333333333333333
2,0.6756756756756758,0.6694677871148459,0.16519174041297932,0.35883359896110023,0.23178659493387133,0.2885670397191134,0.34562365055638605,8,508,330,0.3333333333333333
2,0.7297297297297298,0.7058823529411765,0.13569321533923304,0.3955492591936722,0.37693342299932747,0.31643625192012287,0.2768643082544428,3,3738,8,0.3333333333333333
2,0.47747747747747743,0.45938375350140065,0.10619469026548671,0.1455640162918363,0.10490921318090111,0.14395435593592268,0.12140840391961467,3,2467,9,0.3333333333333333
2,0.6463963963963965,0.627450980392157,0.11946902654867253,0.2812112626173189,0.24893521631921092,0.22975641869651084,0.2099319049991696,5,2355,194,0.3333333333333333
2,0.7972972972972974,0.7450980392156863,0.16519174041297935,0.5512661590224898,0.40663528356870654,0.5156901470265525,0.43697060288988543,8,750,331,0.3333333333333333
1,0.44144144144144143,0.4257703081232493,0.07374631268436577,0.12059500619798118,0.11409997758350139,0.08733816107087988,0.09051652549410394,1,4164,195,0.3333333333333333
2,0.4977477477477477,0.504201680672269,0.10324483775811204,0.15388701965645474,0.1258686393185384,0.12574061882817636,0.13469523334994185,1,3259,196,0.3333333333333333
1,0.37387387387387383,0.37815126050420167,0.07669616519174037,0.075969541349389,0.052454606590450537,0.0653938994952819,0.0749045009134695,1,2555,197,0.3333333333333333
1,0.3063063063063063,0.29411764705882354,0.06784660766961646,0.06020896051000526,0.05010087424344314,0.04257186745666003,0.0498256103637269,0,3144,198,0.3333333333333333
1,0.31081081081081074,0.29411764705882354,0.07079646017699114,0.05418806445900473,0.04259134723156236,0.056177309633530764,0.046836073741903295,3,3885,10,0.3333333333333333
0,0.6959459459459459,0.6610644257703081,0.12536873156342185,0.39005961867658345,0.3966599417171037,0.30283080974325205,0.23982727121740574,5,2860,199,0.3333333333333333
1,0.5022522522522522,0.4789915966386555,0.09734513274336276,0.1378903252464435,0.11241874019278182,0.11740179942944913,0.11210762331838568,1,3645,200,0.3333333333333333
1,0.4211711711711712,0.38935574229691877,0.09439528023598816,0.09627530842335157,0.07845774490024657,0.08053543998244453,0.08021923268560037,0,1071,201,0.3333333333333333
2,0.704954954954955,0.6806722689075629,0.13864306784660765,0.34330913169234395,0.28009414929388027,0.2800087777046302,0.28085035708354095,6,2033,332,0.3333333333333333
2,0.5608108108108109,0.5210084033613446,0.10914454277286134,0.18889085650197743,0.16823582156467154,0.12793504498573618,0.15628633117422355,2,2887,11,0.3333333333333333
0,0.39639639639639634,0.380952380952381,0.09292035398230082,0.07821262027035,0.05962788612418737,0.0638578011849901,0.07324364723467859,4,655,12,0.3333333333333333
2,0.8445945945945946,0.8403361344537815,0.18289085545722714,0.6567498967003128,0.533736830307106,0.5845951283739302,0.49559873775120417,7,3798,413,0.3333333333333333
1,0.38738738738738737,0.35854341736694684,0.09292035398230086,0.079983472050056,0.06848240304864377,0.06100504718016233,0.06859325693406407,3,523,13,0.3333333333333333
0,0.6509009009009009,0.6358543417366948,0.14159292035398227,0.3555280089723156,0.23335574983187624,0.3100724160631994,0.28101644245142005,9,657,333,0.3333333333333333
0,0.6148648648648649,0.6162464985994398,0.13126843657817108,0.28156543297326014,0.21867294328625864,0.24797015580425716,0.2443115761501412,7,2218,414,0.3333333333333333
2,0.6824324324324325,0.6134453781512605,0.12831858407079644,0.3181040080278613,0.27112754987670923,0.2532367785824007,0.26374356419199474,2,3501,14,0.3333333333333333
2,0.42117117117117114,0.4257703081232493,0.09144542772861353,0.09958089841213617,0.07677650750952693,0.0787798990563967,0.08802524497591761,3,2453,4,0.3333333333333333
0,0.5878378378378378,0.5518207282913166,0.10619469026548667,0.2166932294433622,0.19390271239632365,0.1656791748957647,0.1637601727287826,5,115,191,0.3333333333333333
0,0.7409909909909911,0.73109243697479,0.14011799410029496,0.4038132341656337,0.35149069715310466,0.31336405529953915,0.31904999169573167,4,2997,15,0.3333333333333333
2,0.5788288288288288,0.5546218487394958,0.10029498525073743,0.17596363851012334,0.14806097287603673,0.13539609392143948,0.15612024580634443,2,2064,16,0.3333333333333333
0,0.5337837837837838,0.535014005602241,0.11504424778761058,0.19892568325364499,0.16072629455279078,0.1882817643186306,0.16957316060455072,3,2248,6,0.3333333333333333
1,0.5337837837837838,0.5126050420168067,0.11061946902654862,0.17590461011746647,0.123514906971531,0.13649330700021936,0.16973924597242981,8,615,334,0.3333333333333333
1,0.46621621621621623,0.4341736694677871,0.0958702064896755,0.09356000236113564,0.07890607487110511,0.09479921000658324,0.097990367048663,1,2128,202,0.3333333333333333
0,0.6126126126126126,0.5882352941176471,0.1253687315634218,0.28823564134348617,0.2772920869760143,0.25389510642966856,0.19897027071914963,2,978,17,0.3333333333333333
2,0.7792792792792794,0.7591036414565827,0.14011799410029493,0.4489109261554807,0.4150414705223044,0.37305244678516564,0.3210430161102808,4,3597,18,0.3333333333333333
1,0.5540540540540541,0.5182072829131653,0.10471976401179939,0.1614426539165338,0.1308002689979825,0.1342988808426596,0.14150473343298453,2,4073,19,0.3333333333333333
1,0.527027027027027,0.5294117647058825,0.10324483775811207,0.16427601676406345,0.12205783456624074,0.14680710994075044,0.13768476997176546,5,537,203,0.3333333333333333
1,0.39639639639639634,0.380952380952381,0.09292035398230082,0.07821262027035,0.05962788612418737,0.0638578011849901,0.07324364723467859,3,458,12,0.3333333333333333
0,0.7905405405405407,0.7955182072829133,0.1622418879056047,0.5292485685614782,0.392849136964806,0.45556287030941406,0.45856170071416713,9,3931,335,0.3333333333333333
2,0.5675675675675675,0.5490196078431373,0.1091445427728613,0.22129744407059793,0.17821116341627433,0.205837173579109,0.18950340475004154,5,409,204,0.3333333333333333
2,0.7297297297297298,0.700280112044818,0.13126843657817105,0.3571808039667079,0.3157363819771351,0.3061224489795918,0.2655705032386647,3,3736,20,0.3333333333333333
2,0.704954954954955,0.7338935574229692,0.15044247787610618,0.3887609940381323,0.30239856534409326,0.3080974325213956,0.3522670652715496,8,411,336,0.3333333333333333
1,0.45945945945945943,0.4341736694677871,0.10176991150442476,0.12950829348916823,0.10558170813718891,0.11608514373491326,0.10778940375352926,0,3435,205,0.3333333333333333
1,0.608108108108108,0.5714285714285715,0.1165191740412979,0.2201759046101174,0.2010759919300605,0.16348474873820487,0.16425842883241984,2,1114,21,0.3333333333333333
0,0.6193693693693695,0.6022408963585435,0.12094395280235987,0.27772858745056367,0.24254651423447657,0.23787579547948204,0.1964789902009633,5,2954,206,0.3333333333333333
2,0.5630630630630631,0.5574229691876752,0.12094395280235985,0.21905436514963694,0.18717776283344534,0.16633750274303266,0.1800365387809334,0,1103,187,0.3333333333333333
1,0.42117117117117114,0.3949579831932773,0.08554572271386429,0.1048934537512543,0.08182021968168567,0.08580206276058806,0.09167912306925759,0,2504,207,0.3333333333333333
1,0.509009009009009,0.5014005602240896,0.11061946902654862,0.1701198276370934,0.14223268325487554,0.12486284836515248,0.14549078226208267,3,4122,22,0.3333333333333333
2,0.6261261261261262,0.6302521008403362,0.13126843657817103,0.30311079629301685,0.20824927146379735,0.2734254992319508,0.25228367380833755,7,3947,415,0.3333333333333333
0,0.9707207207207208,0.9607843137254902,0.19616519174041294,0.8354878696653091,0.6338264963012777,0.6660083388193986,0.6754691911642586,8,1429,327,0.3333333333333333
2,0.4211711711711712,0.38935574229691877,0.09439528023598816,0.09627530842335157,0.07845774490024657,0.08053543998244453,0.08021923268560037,5,3269,201,0.3333333333333333
0,0.5855855855855855,0.5826330532212887,0.11946902654867253,0.22519331798595119,0.16408876933422992,0.205837173579109,0.20445108785915958,6,738,337,0.3333333333333333
1,0.6328828828828829,0.6190476190476191,0.12684365781710913,0.2293843338645888,0.1845998655010087,0.16502084704849676,0.21292144162099316,3,1606,23,0.3333333333333333
2,0.731981981981982,0.711484593837535,0.135693215339233,0.3969659406174369,0.35765523425240975,0.34869431643625187,0.2652383325029065,4,1805,24,0.3333333333333333
0,0.6891891891891891,0.6862745098039217,0.13864306784660763,0.3253054719319992,0.24960771127549874,0.31073074391046734,0.25427669822288657,4,791,25,0.3333333333333333
2,0.7972972972972974,0.7899159663865548,0.17699115044247785,0.6339649371347619,0.5019054023761488,0.4252797893350888,0.5278192991197478,8,2539,338,0.3333333333333333
2,0.7972972972972974,0.7927170868347341,0.1607669616519174,0.5906971253172776,0.5509975341851603,0.4869431643625191,0.3976083707025411,4,3710,26,0.3333333333333333
0,0.7725225225225226,0.7955182072829133,0.15486725663716813,0.4520394309662948,0.31999551670029136,0.3774412991002853,0.4657033715329679,6,497,339,0.3333333333333333
0,0.5968468468468469,0.5854341736694678,0.11356932153392325,0.2905377486571041,0.26754091010984077,0.22010094360324772,0.19847201461551237,5,1018,208,0.3333333333333333
2,0.35585585585585583,0.3333333333333334,0.06784660766961649,0.0859453397083997,0.06467159829634603,0.08229098090849236,0.075901013120744,0,524,209,0.3333333333333333
0,0.6103603603603603,0.607843137254902,0.12684365781710913,0.29148220293961397,0.2647388477919748,0.20868992758393676,0.23069257598405582,5,1011,210,0.3333333333333333
2,0.5608108108108107,0.5350140056022409,0.11946902654867253,0.21439112212974434,0.19804976462676524,0.1461487820934825,0.1601062946354426,2,3443,27,0.3333333333333333
2,0.3986486486486485,0.3865546218487395,0.08997050147492619,0.09043149755032166,0.07139654785922438,0.0732938336624972,0.07905663511044676,2,303,28,0.3333333333333333
0,0.6734234234234234,0.6722689075630252,0.13716814159292032,0.3861047163685732,0.3328850033624748,0.29624753127057263,0.2572662348447102,3,991,29,0.3333333333333333
0,0.7567567567567569,0.773109243697479,0.14749262536873153,0.49076205654920013,0.42154225509975335,0.37546631555848137,0.37884072413220404,6,1680,340,0.3333333333333333
1,0.31981981981981983,0.31092436974789917,0.0707964601769911,0.06918127619384919,0.05447209145931403,0.0526662277814351,0.064773293472845,0,2172,211,0.3333333333333333
0,0.5585585585585585,0.535014005602241,0.12094395280235987,0.2071306298329496,0.15019054023761486,0.184331797235023,0.17588440458395618,6,3177,341,0.3333333333333333
